uniprot_id,median_tm,n_datasets
A1A4Z1_IQUB,37.71,1
F8W1I6_DCTN2,37.82,1
H0YIS4_PPP1R12A,37.94,1
Q9UNM6-2_PSMD13,39.01,1
H7C3Y4_ASCC2,39.24,1
HYPOTHETICAL PROTEIN XP_296975.,39.62,1
E7EV93_PCM1,39.78,1
ZNF783,39.8,1
C9JD84_LTBP1,40.17,1
FOXP4,40.33,2
G3V2H2_KLHDC2,40.34,2
Q7Z403-2_TMC6,40.54,1
P20292_ALOX5AP,40.77,1
E7EXA8_PRB4,40.81,1
C9JZE9_CPA5,40.89,1
J3KNM5_YAF2,40.9,1
TP63,40.94,2
O75525_KHDRBS3,40.98,1
Q8TAB5_C1orf216,41.06,1
TNS4,41.15,2
Q8N1N4_KRT78,41.17,1
Q9Y535-2_POLR3H,41.29,1
F8W6M3_ZDHHC3,41.29,1
COX6C,41.47,1
E2F8,41.47,1
Q8NG06_TRIM58,41.54,1
MNX1,41.58,2
F5H539_TDG,41.6,3
PROX1,41.68,6
MYO7B,41.71,3
CASC5,41.86,21
BLK,41.98,2
NFKBIL2,41.99,13
DNTT,42.02,7
CDC7,42.11,5
LOC400986,42.11,1
J3KNF3_TET3,42.14,1
MAPRE2,42.14,33
M0QYI1_PNKP,42.15,1
Q9BYV9_BACH2,42.22,1
DUSP10,42.23,2
FAM33A,42.24,17
F8WDT5_SAMD1,42.25,1
H0YAX6_UBXN2B,42.26,1
NAB2,42.28,17
PIAS1,42.3,9
LOC730032,42.31,2
H7C1W2_IDH3G,42.35,2
O60733-2_PLA2G6,42.35,1
K7EQH8_ZNHIT3,42.36,1
B7WNT5_TCF7,42.36,2
Q96BW9_TAMM41,42.41,1
ANKLE2,42.41,28
E7EMQ9_ARMC5,42.43,1
P29692-4_EEF1D,42.44,1
C4ORF23,42.45,5
Q5JYC0_C20orf112,42.46,1
E9PH99_ZNF451,42.5,2
ESF1,42.52,15
P14921_ETS1,42.55,2
P04053-2_DNTT,42.55,2
CDC25A,42.55,1
MLF2,42.56,25
BCL11B,42.58,2
C6ORF167,42.58,25
A6NF48_ZNF281,42.61,3
QSER1,42.61,13
H7C5R8_PARP14,42.66,5
O15226_NKRF,42.67,1
POF1B,42.7,2
Q5SWX9_TPR,42.72,1
Q96KR6_FAM210B,42.75,2
Q9UHB6-4_LIMA1,42.77,1
FAM83H,42.8,4
RNASEL,42.81,25
ELF2,42.81,10
ANKRD39,42.83,5
H3BRA4_BLOC1S6,42.85,1
TBX3,42.88,4
TRIM41,42.88,1
Q9Y483-2_MTF2,42.92,1
O94812-7_BAIAP3,42.93,1
TDG,42.94,5
P05112-2_IL4,42.95,1
Q9H040_SPRTN,42.95,1
DTX2,42.96,3
TIMELESS,42.97,31
H0Y948_MLLT4,42.98,1
Q6ZN19-3_ZNF841,42.99,1
PTPDC1,43.0,2
P43357_MAGEA3,43.01,2
C15ORF39,43.02,7
Q15742-2_NAB2,43.03,1
PRAME,43.05,13
FAM48A,43.06,4
TNK1,43.06,2
E5RHY3_C1orf213,43.07,1
PEG3,43.08,6
GPSM1,43.08,11
B4DXK0_DBF4,43.09,1
Q96C12-3_ARMC5,43.09,1
RASSF7,43.1,1
C18ORF24,43.11,14
ELK3,43.13,2
Q96DP5_MTFMT,43.14,1
ETS1,43.15,9
TP53,43.16,4
P04264_KRT1,43.16,5
Q6NXE6-2_ARMC6,43.19,11
RBM35B,43.2,8
IFIH1,43.21,7
F5H640_YY1AP1,43.22,2
Q15742-3_NAB2,43.22,6
O94906_PRPF6,43.22,2
RNASEH1,43.23,7
JRK,43.23,2
Q9P1U0_ZNRD1,43.23,2
XAB2,43.24,31
Q53EP0-2_FNDC3B,43.26,1
GCN1L1,43.26,33
B7ZBM3_FOXP4,43.28,2
Q92698_RAD54L,43.29,2
ANK1,43.29,11
NEIL3,43.31,4
G8JLC4_SMPD4,43.33,2
B4DVB0_OSBPL5,43.34,1
SCML2,43.34,13
C9JWI7_TACC3,43.35,1
C1ORF124,43.35,4
BRF1,43.35,17
ITK,43.35,9
FOXA2,43.36,6
PRPF6,43.36,30
TTK,43.37,29
O94906-2_PRPF6,43.38,4
Q2KHR3-2_QSER1,43.4,4
C9JAX3_ZNF467,43.4,1
PRR14,43.4,4
B4E1N1_ARMC6,43.41,6
Q86Y37-4_CACUL1,43.41,3
Q9HCK8-2_CHD8,43.41,4
ARID5B,43.41,2
POLM,43.42,4
J3KTL1_ZNF207,43.43,1
USP11,43.43,33
MAGEC1,43.43,8
O15013-7_ARHGEF10,43.44,1
C9K049_HMG20B,43.44,1
ARMC6,43.44,33
ZRANB3,43.45,4
ARHGAP23,43.45,2
Q5T0A6_DHDDS,43.46,1
GTF3C1,43.46,21
ZNF507,43.46,2
IFIT2,43.47,2
Q9UBC3-4_DNMT3B,43.48,4
