uniprot,organism,ogt,organism_class,tm,n_datasets
I1W5V5,Oleispira antarctica,15.0,psychrophile,38.47,1
R4YJ85,Oleispira antarctica,15.0,psychrophile,37.96,1
R4YJ87,Oleispira antarctica,15.0,psychrophile,44.95,1
R4YJ88,Oleispira antarctica,15.0,psychrophile,51.24,1
R4YJ92,Oleispira antarctica,15.0,psychrophile,54.79,1
R4YJ93,Oleispira antarctica,15.0,psychrophile,41.36,1
R4YJ94,Oleispira antarctica,15.0,psychrophile,48.12,1
R4YJ95,Oleispira antarctica,15.0,psychrophile,41.57,1
R4YJ97,Oleispira antarctica,15.0,psychrophile,41.99,1
R4YJ99,Oleispira antarctica,15.0,psychrophile,37.34,1
R4YJA2,Oleispira antarctica,15.0,psychrophile,37.43,1
R4YJA4,Oleispira antarctica,15.0,psychrophile,43.69,1
R4YJA7,Oleispira antarctica,15.0,psychrophile,43.67,1
R4YJA8,Oleispira antarctica,15.0,psychrophile,46.15,1
R4YJB0,Oleispira antarctica,15.0,psychrophile,43.3,1
R4YJB3,Oleispira antarctica,15.0,psychrophile,41.79,1
R4YJB4,Oleispira antarctica,15.0,psychrophile,48.9,1
R4YJC0,Oleispira antarctica,15.0,psychrophile,46.97,1
R4YJC1,Oleispira antarctica,15.0,psychrophile,42.16,1
R4YJC2,Oleispira antarctica,15.0,psychrophile,36.46,1
R4YJC3,Oleispira antarctica,15.0,psychrophile,48.95,1
R4YJC7,Oleispira antarctica,15.0,psychrophile,42.13,1
R4YJD2,Oleispira antarctica,15.0,psychrophile,52.15,1
R4YJD5,Oleispira antarctica,15.0,psychrophile,41.02,1
R4YJD6,Oleispira antarctica,15.0,psychrophile,43.63,1
R4YJD9,Oleispira antarctica,15.0,psychrophile,39.88,1
R4YJE5,Oleispira antarctica,15.0,psychrophile,49.41,1
R4YJE6,Oleispira antarctica,15.0,psychrophile,39.98,1
R4YJE7,Oleispira antarctica,15.0,psychrophile,52.1,1
R4YJF0,Oleispira antarctica,15.0,psychrophile,51.02,1
R4YJF3,Oleispira antarctica,15.0,psychrophile,37.84,1
R4YJF6,Oleispira antarctica,15.0,psychrophile,43.98,1
R4YJF7,Oleispira antarctica,15.0,psychrophile,40.01,1
R4YJF8,Oleispira antarctica,15.0,psychrophile,41.78,1
R4YJG2,Oleispira antarctica,15.0,psychrophile,39.7,1
R4YJG4,Oleispira antarctica,15.0,psychrophile,37.57,1
R4YJG5,Oleispira antarctica,15.0,psychrophile,37.2,1
R4YJG8,Oleispira antarctica,15.0,psychrophile,51.97,1
R4YJH0,Oleispira antarctica,15.0,psychrophile,46.57,1
R4YJH3,Oleispira antarctica,15.0,psychrophile,43.3,1
R4YJH5,Oleispira antarctica,15.0,psychrophile,36.98,1
R4YJH6,Oleispira antarctica,15.0,psychrophile,46.31,1
R4YJI3,Oleispira antarctica,15.0,psychrophile,39.49,1
R4YJI5,Oleispira antarctica,15.0,psychrophile,54.01,1
R4YJJ1,Oleispira antarctica,15.0,psychrophile,44.29,1
R4YJJ4,Oleispira antarctica,15.0,psychrophile,40.7,1
R4YJJ5,Oleispira antarctica,15.0,psychrophile,34.59,1
R4YJJ7,Oleispira antarctica,15.0,psychrophile,36.59,1
R4YJJ8,Oleispira antarctica,15.0,psychrophile,45.89,1
R4YJK0,Oleispira antarctica,15.0,psychrophile,33.79,1
R4YJK1,Oleispira antarctica,15.0,psychrophile,46.48,1
R4YJK2,Oleispira antarctica,15.0,psychrophile,48.05,1
R4YJK5,Oleispira antarctica,15.0,psychrophile,43.84,1
R4YJK7,Oleispira antarctica,15.0,psychrophile,41.62,1
R4YJK8,Oleispira antarctica,15.0,psychrophile,39.53,1
R4YJK9,Oleispira antarctica,15.0,psychrophile,46.48,1
R4YJL2,Oleispira antarctica,15.0,psychrophile,37.39,1
R4YJM0,Oleispira antarctica,15.0,psychrophile,49.0,1
R4YJM2,Oleispira antarctica,15.0,psychrophile,42.09,1
R4YJM5,Oleispira antarctica,15.0,psychrophile,42.7,1
R4YJM8,Oleispira antarctica,15.0,psychrophile,41.82,1
R4YJN1,Oleispira antarctica,15.0,psychrophile,37.33,1
R4YJN2,Oleispira antarctica,15.0,psychrophile,39.29,1
R4YJN6,Oleispira antarctica,15.0,psychrophile,49.49,1
R4YJN7,Oleispira antarctica,15.0,psychrophile,36.78,1
R4YJN9,Oleispira antarctica,15.0,psychrophile,51.17,1
R4YJP1,Oleispira antarctica,15.0,psychrophile,39.15,1
R4YJP2,Oleispira antarctica,15.0,psychrophile,50.5,1
R4YJP4,Oleispira antarctica,15.0,psychrophile,47.25,1
R4YJP6,Oleispira antarctica,15.0,psychrophile,39.4,1
R4YJP7,Oleispira antarctica,15.0,psychrophile,51.04,1
R4YJQ5,Oleispira antarctica,15.0,psychrophile,38.1,1
R4YJQ6,Oleispira antarctica,15.0,psychrophile,31.86,1
R4YJQ7,Oleispira antarctica,15.0,psychrophile,42.82,1
R4YJR0,Oleispira antarctica,15.0,psychrophile,40.8,1
R4YJR1,Oleispira antarctica,15.0,psychrophile,39.95,1
R4YJR2,Oleispira antarctica,15.0,psychrophile,43.75,1
R4YJR4,Oleispira antarctica,15.0,psychrophile,51.43,1
R4YJR6,Oleispira antarctica,15.0,psychrophile,38.58,1
R4YJS6,Oleispira antarctica,15.0,psychrophile,40.05,1
R4YJS8,Oleispira antarctica,15.0,psychrophile,42.56,1
R4YJS9,Oleispira antarctica,15.0,psychrophile,41.22,1
R4YJT0,Oleispira antarctica,15.0,psychrophile,44.18,1
R4YJT1,Oleispira antarctica,15.0,psychrophile,38.98,1
R4YJT8,Oleispira antarctica,15.0,psychrophile,41.69,1
R4YJU5,Oleispira antarctica,15.0,psychrophile,42.6,1
R4YJU6,Oleispira antarctica,15.0,psychrophile,39.57,1
R4YJV2,Oleispira antarctica,15.0,psychrophile,41.0,1
R4YJV7,Oleispira antarctica,15.0,psychrophile,44.98,1
R4YJV9,Oleispira antarctica,15.0,psychrophile,45.68,1
R4YJW0,Oleispira antarctica,15.0,psychrophile,42.1,1
R4YJW9,Oleispira antarctica,15.0,psychrophile,42.72,1
R4YJX0,Oleispira antarctica,15.0,psychrophile,39.42,1
R4YJX1,Oleispira antarctica,15.0,psychrophile,42.18,1
R4YJY0,Oleispira antarctica,15.0,psychrophile,47.86,1
R4YJY3,Oleispira antarctica,15.0,psychrophile,45.86,1
R4YJY4,Oleispira antarctica,15.0,psychrophile,50.7,1
R4YJY6,Oleispira antarctica,15.0,psychrophile,47.61,1
R4YJY7,Oleispira antarctica,15.0,psychrophile,40.9,1
R4YJY8,Oleispira antarctica,15.0,psychrophile,43.08,1
R4YJY9,Oleispira antarctica,15.0,psychrophile,44.97,1
R4YJZ4,Oleispira antarctica,15.0,psychrophile,40.74,1
R4YJZ6,Oleispira antarctica,15.0,psychrophile,40.26,1
R4YK01,Oleispira antarctica,15.0,psychrophile,52.38,1
R4YK02,Oleispira antarctica,15.0,psychrophile,46.03,1
R4YK03,Oleispira antarctica,15.0,psychrophile,49.59,1
R4YK04,Oleispira antarctica,15.0,psychrophile,41.38,1
R4YK05,Oleispira antarctica,15.0,psychrophile,39.89,1
R4YK07,Oleispira antarctica,15.0,psychrophile,38.23,1
R4YK10,Oleispira antarctica,15.0,psychrophile,38.26,1
R4YK11,Oleispira antarctica,15.0,psychrophile,38.05,1
R4YK13,Oleispira antarctica,15.0,psychrophile,47.0,1
R4YK22,Oleispira antarctica,15.0,psychrophile,42.26,1
R4YK23,Oleispira antarctica,15.0,psychrophile,44.67,1
R4YK28,Oleispira antarctica,15.0,psychrophile,43.77,1
R4YK34,Oleispira antarctica,15.0,psychrophile,44.51,1
R4YK35,Oleispira antarctica,15.0,psychrophile,40.17,1
R4YK38,Oleispira antarctica,15.0,psychrophile,40.72,1
R4YK42,Oleispira antarctica,15.0,psychrophile,38.39,1
R4YK43,Oleispira antarctica,15.0,psychrophile,43.97,1
R4YK44,Oleispira antarctica,15.0,psychrophile,44.65,1
R4YK48,Oleispira antarctica,15.0,psychrophile,36.72,1
R4YK51,Oleispira antarctica,15.0,psychrophile,38.12,1
R4YK52,Oleispira antarctica,15.0,psychrophile,43.89,1
R4YK54,Oleispira antarctica,15.0,psychrophile,43.46,1
R4YK56,Oleispira antarctica,15.0,psychrophile,45.64,1
R4YK57,Oleispira antarctica,15.0,psychrophile,52.29,1
R4YK59,Oleispira antarctica,15.0,psychrophile,39.69,1
R4YK64,Oleispira antarctica,15.0,psychrophile,48.41,1
R4YK67,Oleispira antarctica,15.0,psychrophile,41.33,1
R4YK68,Oleispira antarctica,15.0,psychrophile,43.82,1
R4YK74,Oleispira antarctica,15.0,psychrophile,44.34,1
R4YK78,Oleispira antarctica,15.0,psychrophile,36.31,1
R4YK80,Oleispira antarctica,15.0,psychrophile,38.86,1
R4YK81,Oleispira antarctica,15.0,psychrophile,41.82,1
R4YK85,Oleispira antarctica,15.0,psychrophile,38.27,1
R4YK86,Oleispira antarctica,15.0,psychrophile,42.57,1
R4YK87,Oleispira antarctica,15.0,psychrophile,41.31,1
R4YK89,Oleispira antarctica,15.0,psychrophile,34.21,1
R4YK90,Oleispira antarctica,15.0,psychrophile,42.44,1
R4YK92,Oleispira antarctica,15.0,psychrophile,47.26,1
R4YK93,Oleispira antarctica,15.0,psychrophile,51.05,1
R4YK94,Oleispira antarctica,15.0,psychrophile,40.43,1
R4YKA3,Oleispira antarctica,15.0,psychrophile,37.55,1
R4YKA7,Oleispira antarctica,15.0,psychrophile,41.16,1
R4YKA9,Oleispira antarctica,15.0,psychrophile,47.64,1
R4YKB0,Oleispira antarctica,15.0,psychrophile,41.35,1
R4YKB1,Oleispira antarctica,15.0,psychrophile,43.35,1
R4YKB3,Oleispira antarctica,15.0,psychrophile,46.62,1
R4YKB9,Oleispira antarctica,15.0,psychrophile,48.55,1
R4YKC5,Oleispira antarctica,15.0,psychrophile,48.06,1
R4YKC6,Oleispira antarctica,15.0,psychrophile,41.9,1
R4YKC7,Oleispira antarctica,15.0,psychrophile,38.02,1
R4YKC8,Oleispira antarctica,15.0,psychrophile,44.93,1
R4YKD1,Oleispira antarctica,15.0,psychrophile,46.04,1
R4YKD2,Oleispira antarctica,15.0,psychrophile,51.11,1
R4YKD3,Oleispira antarctica,15.0,psychrophile,52.03,1
R4YKD6,Oleispira antarctica,15.0,psychrophile,37.36,1
R4YKD8,Oleispira antarctica,15.0,psychrophile,40.21,1
R4YKD9,Oleispira antarctica,15.0,psychrophile,40.82,1
R4YKE3,Oleispira antarctica,15.0,psychrophile,40.39,1
R4YKF4,Oleispira antarctica,15.0,psychrophile,46.03,1
R4YKF5,Oleispira antarctica,15.0,psychrophile,38.23,1
R4YKG3,Oleispira antarctica,15.0,psychrophile,45.42,1
R4YKG4,Oleispira antarctica,15.0,psychrophile,46.72,1
R4YKG8,Oleispira antarctica,15.0,psychrophile,38.79,1
R4YKH2,Oleispira antarctica,15.0,psychrophile,37.56,1
R4YKJ0,Oleispira antarctica,15.0,psychrophile,38.34,1
R4YKJ9,Oleispira antarctica,15.0,psychrophile,44.4,1
R4YKK1,Oleispira antarctica,15.0,psychrophile,39.36,1
R4YKK8,Oleispira antarctica,15.0,psychrophile,38.57,1
R4YKK9,Oleispira antarctica,15.0,psychrophile,45.14,1
