uniprot,label,tm,z_mean,z_max,z_frac,n_patches
P29401,POS,66.0,0.6211924999803787,0.6952380952380951,0.046218487394957986,7
Q96M27,POS,66.8,0.587229938271605,0.8333333333333334,0.0169971671388102,6
Q96GD0,POS,66.1,0.6979166666666666,0.75,0.05517241379310345,3
P17174,POS,66.8,0.6071428571428571,0.65,0.0374331550802139,6
Q8NCC3,POS,67.8,0.7999999999999999,0.8,0.04145077720207254,7
Q9H6Z4,POS,68.4,0.4470190148719307,0.5837669094693028,0.026923076923076925,10
P78310,POS,68.06,0.5551163470017636,0.5958333333333332,0.029197080291970802,5
Q6IE81,POS,67.12,0.40255814272058776,0.4952895111532985,0.03225806451612903,16
Q9H0N0,POS,67.11,0.6754115226337447,0.6944444444444445,0.03468208092485549,4
P83369,POS,66.97,0.44836590020324213,0.52324016563147,0.034375,9
Q9NRN9,POS,66.87,0.5347222222222223,0.6666666666666667,0.07207207207207207,4
Q5D862,POS,66.86,0.39787612721582327,0.46327662670717557,0.014437367303609342,22
Q6NXT6,POS,66.85,0.35992085608712576,0.40255427841634733,0.028350515463917526,6
Q96RW7,POS,66.83,0.50530243198894,0.5299805636540331,0.02586206896551724,6
O14556,POS,66.5,0.5791241496598639,0.6263888888888888,0.03139013452914798,5
P29218,POS,66.31,0.6225563909774436,0.8571428571428572,0.14728682170542637,11
Q9BZD2,POS,66.03,0.46443675509419463,0.48442906574394456,0.022222222222222223,4
P00505,POS,65.84,0.7514129389129388,0.8249158249158248,0.038834951456310676,5
Q5T7W0,POS,65.75,0.4857558040851835,0.5906810035842295,0.028050490883590462,17
Q9H3H5,POS,65.59,0.5777777777777778,0.7272727272727273,0.028846153846153848,5
Q7LG56,POS,65.58,0.5787367724867725,0.6866319444444444,0.046632124352331605,5
O75084,POS,65.58,0.5730243834162687,0.6814404432132964,0.022792022792022793,5
P00491,POS,65.49,0.8571428571428574,0.8571428571428572,0.05384615384615385,5
P55072,POS,65.41,0.5141426875686023,0.6046768707482995,0.043859649122807015,10
J3QTA6,POS,65.37,0.5712775308053946,0.6631578947368421,0.03614457831325301,6
Q92616,NEG,44.3,0.44606046606539707,0.5086434390059124,0.03749043611323642,31
P32519,NEG,44.2,0.3337925475342804,0.3933248299319728,0.023972602739726026,11
Q6NXE6,NEG,43.2,0.6677718745900564,0.8888888888888888,0.04150943396226415,8
Q8IX90,NEG,44.0,0.44106389404173346,0.5764411027568923,0.029197080291970802,9
Q15742,NEG,43.2,0.40889031908446316,0.5215057319223985,0.028953229398663696,9
P04264,NEG,43.2,0.4679252215618633,0.4891597796143251,0.021739130434782608,8
O94906,NEG,43.38,0.38415387818436647,0.4406134186597542,0.03937007874015748,12
Q2KHR3,NEG,43.4,0.4363917761201495,0.5341446188220382,0.02118380062305296,21
B4E1N1,NEG,43.41,0.664105339105339,0.7272727272727272,0.050761421319796954,7
Q9UBC3,NEG,43.48,0.4416790698246407,0.640100033068783,0.036231884057971016,13
Q9UPP1,NEG,43.51,0.38975378983976383,0.47422319403952057,0.03214285714285714,13
E9PM19,NEG,43.69,0.3897855784452381,0.5501064282673478,0.033707865168539325,13
Q9Y4W2,NEG,43.91,0.4130293960552667,0.5148526077097505,0.036231884057971016,12
Q9H147,NEG,44.04,0.5555766049109702,0.7777777777777778,0.03636363636363636,6
C9J5V9,NEG,44.09,0.5339326206673145,0.6309523809523809,0.0330188679245283,7
Q9H633,NEG,44.18,0.4200000000000001,0.5,0.04201680672268908,4
O95466,NEG,44.22,0.4581472647684697,0.5377936990398997,0.0322180916976456,19
Q14781,NEG,44.23,0.3736629156156556,0.4536398467432951,0.025193798449612403,10
G8JL98,NEG,44.25,0.41680849538364717,0.5483870967741935,0.033112582781456956,7
O15091,NEG,44.31,0.5122587763613404,0.6296296296296295,0.036619718309859155,10
Q8IZ40,NEG,44.41,0.3620201818170054,0.4290130796670629,0.03017241379310345,11
B7Z3T9,NEG,44.43,0.5655301126370618,0.8176623376623375,0.032397408207343416,9
Q86U86,NEG,44.48,0.4214388993205107,0.49664067576348275,0.03521703521703522,24
B5MCT9,NEG,44.49,0.5602497329059829,0.65625,0.030418250950570342,7
Q5SY16,NEG,44.5,0.41599351612106716,0.5248677248677247,0.03389830508474576,12
