uniprot,tm,z_mean,z_max,z_frac,n_patches
Q99700,51.72,0.390217497917871,0.4648692810457516,0.01726844583987441,17
Q3SY69,49.33,0.5330900830458778,0.6612260536398468,0.043478260869565216,10
Q9GZV5,61.59,0.6684778184778184,0.8256410256410255,0.017902813299232736,5
Q99961,50.06,0.41824321810082254,0.46707298944551806,0.043478260869565216,6
Q9UKB5,49.51,0.36297743055555554,0.41666666666666663,0.019464720194647202,8
P46977,52.19,0.4971882203473682,0.5509700176366842,0.028011204481792718,10
Q15274,57.96,0.6488888888888888,0.7111111111111112,0.032679738562091505,3
Q5JU69,54.98,0.8571428571428574,0.8571428571428572,0.045714285714285714,6
J3KN39,47.1,0.4295070380555469,0.5392133204633204,0.045372050816696916,13
Q9P215,47.03,0.3423088603102215,0.4166666666666667,0.03686635944700461,14
G3V5Q1,49.0,0.42124954148325994,0.4754901960784313,0.037037037037037035,7
O75185,51.37,0.48812983310198393,0.5518518518518518,0.03711340206185567,15
Q6PJG6,47.31,0.5414205115622119,0.6600877192982455,0.03132530120481928,9
Q13232,61.53,0.7142857142857144,1.0,0.07,4
P49959,54.99,0.5075676768794166,0.553125,0.039647577092511016,9
E9PSF2,53.19,0.4350504361872987,0.5095026768103691,0.022893772893772892,16
H0YNE9,55.78,0.588888888888889,0.8571428571428572,0.16363636363636364,9
E9PL01,52.24,0.6266565885613504,0.7619047619047619,0.05303030303030303,6
Q86WV6,51.33,0.5051282051282052,0.6153846153846154,0.021505376344086023,6
Q15233,45.58,0.4881509212850677,0.5634944150499707,0.035175879396984924,6
Q9Y3T6,50.39,0.42648609262674264,0.5220443349753695,0.03651685393258427,9
P98173,52.24,0.7711840628507295,0.8249158249158248,0.0410958904109589,5
Q69YN4,49.33,0.36752165232541445,0.5716703869047619,0.03468697123519458,28
Q9H900,50.32,0.522946552358317,0.7058823529411764,0.03313253012048193,10
Q9NXU5,53.12,0.526984126984127,0.7999999999999999,0.058333333333333334,6
Q9UNE7,47.75,0.4882664646482794,0.6286862990810359,0.049019607843137254,3
Q9Y5A9,51.26,0.600445502170831,0.6992424242424242,0.02053388090349076,6
Q96PU5,49.14,0.45379980337628084,0.5907001044932079,0.03111111111111111,15
O43291,54.0,0.5065355893819516,0.5628654970760235,0.028169014084507043,4
Q12907,51.52,0.6741723356009072,0.8,0.03153153153153153,5
O43303,54.93,0.3404591470361545,0.43071946169772257,0.02721774193548387,18
Q9UDY8,49.22,0.5388499454950249,0.6051039697542532,0.03292181069958848,14
Q3LXA3,56.11,0.6672997784108894,0.8205128205128205,0.03169014084507042,9
P62424,53.52,0.3825166873412487,0.42105263157894746,0.045,7
Q8IUH4,49.75,0.5643401608679386,0.7864583333333333,0.02452316076294278,6
P50748,48.8,0.41455411970557826,0.47207611708251906,0.03614457831325301,34
